,Resident Departures: Total,Resident Departures: Male,Resident Departures: Female,Resident Departures: By Sea,Resident Departures: By Air,Resident Departures: Age 12 Years and Under,Resident Departures: Age 13 to 19,Resident Departures: Age 20 to 29,Resident Departures: Age 30 to 39,Resident Departures: Age 40 to 49,Resident Departures: Age 50 to 59,Resident Departures: Age 60 and Over,Resident Departures: Asia,Resident Departures: Asia: Hong Kong,Resident Departures: Asia: China,Resident Departures: Asia: Japan,Resident Departures: Asia: South Korea,Resident Departures: Asia: Singapore,Resident Departures: Asia: Malaysia,Resident Departures: Asia: Thailand,Resident Departures: Asia: Philippines,Resident Departures: Asia: Indonesia,Resident Departures: Asia: Brunei,Resident Departures: Asia: Vietnam,Resident Departures: Asia: Macau,Resident Departures: Asia: Myanmar,Resident Departures: Asia: Cambodia,Resident Departures: Asia: Others,Resident Departures: America,Resident Departures: America: U.S.A.,Resident Departures: America: Canada,Resident Departures: America: Others,Resident Departures: Europe,Resident Departures: Europe: France,Resident Departures: Europe: Germany,Resident Departures: Europe: Italy,Resident Departures: Europe: Netherlands,Resident Departures: Europe: Switzerland,Resident Departures: Europe: United Kingdom,Resident Departures: Europe: Austria,Resident Departures: Europe: Others,Resident Departures: Oceania,Resident Departures: Oceania: Australia,Resident Departures: Oceania: New Zealand,Resident Departures: Oceania: Palau,Resident Departures: Oceania: Others,Resident Departures: Africa,Resident Departures: Others,(DC)Resident Departures: South Africa,Resident Departures: Total,Resident Departures: Male,Resident Departures: Female
09/2009,625834,360247,265587,54829,571005,14319,8469,93525,149412,143005,137096,80008,552429,151704,155012,87727,23423,9149,11134,19527,6820,13932,0,17761,51663,508,,4069,45887,38398,7478,11,20551,2109,2973,1022,6272,161,4856,3158,0,6412,5102,0,1293,17,395,160,,,,
10/2009,742345,395885,277550,59234,683111,21269,6003,77582,164331,164017,152138,88095,673435,187493,196436,101227,32726,9904,12349,22602,6604,16457,135,20800,62155,972,,3575,40084,36248,3824,12,19502,1916,2912,746,5884,0,4429,3614,1,8341,6660,0,1681,0,849,134,,,,
11/2009,661050,383765,277285,43003,618047,15836,3967,80542,165661,157643,149677,87724,598386,162237,170981,85265,27506,7978,10633,24616,7081,13313,1,21527,61226,1363,,4659,38627,35831,2784,12,16194,1755,2245,721,5181,0,3444,2847,1,7164,5635,0,1527,2,609,70,,,,
12/2009,665603,377684,287919,42913,622690,22497,8122,103567,173322,152880,135192,70023,598172,173465,159354,77663,29388,7762,10718,25165,6561,15227,0,25071,59889,1570,,6339,42031,38210,3815,6,16954,1731,1744,207,6930,96,3554,2507,185,7368,6347,0,1021,0,983,95,,8142946,4628499,3514447
01/2010,731609,403301,328308,42299,689310,52119,30168,103695,178599,170074,128088,68866,646818,180195,158962,92832,36008,13261,17641,30207,8077,17916,0,24861,58339,1280,,7239,54596,49994,4597,5,18844,1962,2571,276,7609,0,3985,2085,356,10447,8003,491,1951,2,821,83,,,,
02/2010,837946,461666,376280,46300,791646,74951,48415,107299,200647,197361,143313,65960,754800,212642,187503,107985,38938,17953,19219,36083,12750,21330,689,33086,56416,1462,,8744,51955,47486,4467,2,19428,2064,3093,911,6285,0,4088,2545,442,11457,8800,485,2172,0,1,305,,,,
03/2010,717854,406988,310866,41033,676821,22162,6193,89555,179847,164324,155841,99932,651289,177922,178792,91243,27860,13208,15283,28077,8805,14880,0,26440,60801,1464,,6514,41725,37324,4396,5,17764,1850,2544,962,6060,0,2929,2912,507,6863,5585,0,1276,2,0,213,,,,
04/2010,743940,419034,324906,44348,699592,22968,7833,84669,179575,167480,166853,114562,683094,191960,183895,112939,33407,13454,15050,17190,8552,14388,0,24277,59552,1322,,7107,37793,32496,5294,3,15539,1651,2287,1059,3232,0,4516,2568,226,7387,6189,0,1193,5,0,127,,,,
05/2010,767294,432297,334997,59743,707551,24181,8769,89774,187355,170284,169357,117574,704776,199976,194184,124151,33033,12142,15991,11704,9779,16770,19,25083,55260,1113,,5571,39447,34609,4834,4,16337,2202,2695,1654,3776,0,3301,2708,1,6394,5201,0,1173,20,0,340,,,,
06/2010,806972,443892,363080,65828,741144,36656,19642,113990,193901,177896,162446,102441,735845,202330,206639,126779,33480,11760,18274,16231,14033,17018,6,25192,57289,1126,,5688,44068,37782,6281,5,19474,2431,2704,1719,6023,0,4036,2559,2,7408,6102,0,1306,0,0,177,,,,
